9,0.0012401959270621637,0.00015625000000007994,"[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^6 (mod z^7+1)]"
9,0.00088042403668644087,7.8125000000012212e-05,"[z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^5 (mod z^7+1)]"
9,0.00088042403668675215,7.8125000000039968e-05,"[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^6 (mod z^7+1)]"
9,0.0010761701026528443,0.00011718750000000444,"[z^6+z^3+z (mod z^7+1), z^6+z^5+z^4+z+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.0012401959270639256,0.00015625000000030198,"[z^6+z^3+z^2 (mod z^7+1), z^6+z^5+z^4+z^3+z (mod z^7+1), z (mod z^7+1)]"
9,0.0010761701026528465,0.00011718750000000444,"[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^5 (mod z^7+1)]","[z^4+z^3+z^2 (mod z^7+1), z^5+z^4+z^3+z+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.00062377810244753067,3.9062499999964473e-05,"[z^5+z^4+z (mod z^7+1), z^6+z^4+z^3+z^2+z (mod z^7+1), z^2 (mod z^7+1)]"
9,0.00088042403668612602,7.8124999999984457e-05,"[z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.00088042403668675442,7.8125000000039968e-05,"[z^5+z^2+1 (mod z^7+1), z^6+z^5+z^2+z+1 (mod z^7+1), z (mod z^7+1)]","[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^6 (mod z^7+1)]"
9,0.0010761701026533565,0.00011718750000005995,"[z^6+z^3+z (mod z^7+1), z^6+z^5+z^4+z+1 (mod z^7+1), z (mod z^7+1)]"
9,0.00088042403668628334,7.8124999999998335e-05,"[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^5 (mod z^7+1)]"
9,0.0018417461303328843,0.00035156250000012434,"[z^6+z^3+1 (mod z^7+1), z^6+z^4+z^2+z+1 (mod z^7+1), z^3 (mod z^7+1)]"
9,0.0012401959270612818,0.00015624999999996891,"[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^5 (mod z^7+1)]","[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]","[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^3 (mod z^7+1)]","[z^4+z^3+z^2 (mod z^7+1), z^5+z^4+z^3+z+1 (mod z^7+1), z (mod z^7+1)]"
9,0.0010761701026528456,0.00011718750000000444,"[z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z (mod z^7+1)]"
9,0.00088042403668675366,7.8125000000039968e-05,"[z^2+z+1 (mod z^7+1), z^6+z^5+z^3+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]","[z^4+z^2+1 (mod z^7+1), z^6+z^5+z^4+z^3+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.0010761701026533576,0.00011718750000005995,"[z^6+z+1 (mod z^7+1), z^6+z^4+z^3+z+1 (mod z^7+1), z^6 (mod z^7+1)]"
9,0.0010761701026518256,0.00011718749999989342,"[z^5+z^2+1 (mod z^7+1), z^6+z^5+z^2+z+1 (mod z^7+1), z^4 (mod z^7+1)]","[z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.0012401959270612814,0.00015624999999996891,"[z^4+z^2+1 (mod z^7+1), z^6+z^5+z^4+z^3+1 (mod z^7+1), z^6 (mod z^7+1)]","[z^4+z^3+1 (mod z^7+1), z^5+z^4+z^3+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]"
9,0.00062377810244841517,3.9062500000019984e-05,"[z^6+z^3+z (mod z^7+1), z^6+z^5+z^4+z+1 (mod z^7+1), z^4 (mod z^7+1)]"
9,0.00088042403668675421,7.8125000000039968e-05,"[z^5+z^4+z (mod z^7+1), z^6+z^4+z^3+z^2+z (mod z^7+1), z^3 (mod z^7+1)]","[z^6+z^3+z^2 (mod z^7+1), z^6+z^5+z^4+z^3+z (mod z^7+1), z (mod z^7+1)]"
9,0.0010761701026528448,0.00011718750000000444,"[z^4+z^2+1 (mod z^7+1), z^6+z^5+z^4+z^3+1 (mod z^7+1), z^6 (mod z^7+1)]","[z^3+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+z (mod z^7+1), z^4 (mod z^7+1)]"
9,0.0012401959270639262,0.00015625000000030198,"[z^6+z^3+z (mod z^7+1), z^6+z^5+z^4+z+1 (mod z^7+1), z^5 (mod z^7+1)]"
9,0.0010761701026533591,0.00011718750000005995,"[z^5+z^4+z^3 (mod z^7+1), z^6+z^4+z^3+z^2+1 (mod z^7+1), z^4 (mod z^7+1)]"
9,0.00088042403668612548,7.8124999999984457e-05,"[z^5+z^2+z (mod z^7+1), z^6+z^5+z^4+z^2+1 (mod z^7+1), z^2 (mod z^7+1)]"
